N,method,latency_us,recall
10000,serial_flat,816.51,0.10340
10000,flat_simd,262.38,0.10340
10000,sq_simd_p100,184.58,0.10340
10000,pq_simd_p1000,649.41,0.10340
25000,serial_flat,2056.11,0.25170
25000,flat_simd,723.46,0.25170
25000,sq_simd_p100,326.59,0.25170
25000,pq_simd_p1000,797.80,0.25170
50000,serial_flat,3792.49,0.49550
50000,flat_simd,1500.34,0.49550
50000,sq_simd_p100,658.91,0.49550
50000,pq_simd_p1000,1167.92,0.49360
100000,serial_flat,7859.00,0.99995
100000,flat_simd,2839.61,0.99995
100000,sq_simd_p100,1257.02,0.99995
100000,pq_simd_p1000,1717.04,0.98355
