tag,mode,k,p,N,rep,recall,latency_us
baseline,baseline,10,0,10000,0,1.00000,544.87700
tag,mode,k,p,N,rep,recall,latency_us
flat,flat,10,0,10000,0,1.00000,94.08100
tag,mode,k,p,N,rep,recall,latency_us
sq_p100,sq,10,0,10000,0,1.00000,105.60400
tag,mode,k,p,N,rep,recall,latency_us
pq_p1000,pq,10,0,10000,0,0.99980,439.89800
tag,mode,k,p,N,rep,recall,latency_us
baseline,baseline,10,0,25000,0,1.00000,1353.12450
tag,mode,k,p,N,rep,recall,latency_us
flat,flat,10,0,25000,0,1.00000,301.56950
tag,mode,k,p,N,rep,recall,latency_us
sq_p100,sq,10,0,25000,0,1.00000,218.26050
tag,mode,k,p,N,rep,recall,latency_us
pq_p1000,pq,10,0,25000,0,0.99850,782.47250
tag,mode,k,p,N,rep,recall,latency_us
baseline,baseline,10,0,50000,0,1.00000,2517.71750
tag,mode,k,p,N,rep,recall,latency_us
flat,flat,10,0,50000,0,0.99995,1180.98900
tag,mode,k,p,N,rep,recall,latency_us
sq_p100,sq,10,0,50000,0,0.99995,399.29700
tag,mode,k,p,N,rep,recall,latency_us
pq_p1000,pq,10,0,50000,0,0.99300,2025.48350
tag,mode,k,p,N,rep,recall,latency_us
baseline,baseline,10,0,100000,0,0.99995,14439.02900
tag,mode,k,p,N,rep,recall,latency_us
flat,flat,10,0,100000,0,0.99995,8751.99700
tag,mode,k,p,N,rep,recall,latency_us
sq_p100,sq,10,0,100000,0,0.99995,743.18550
tag,mode,k,p,N,rep,recall,latency_us
pq_p1000,pq,10,0,100000,0,0.98315,3476.52800
